rank,brand,usd,final_bucket,flipped,src_claude,src_accio,src_perplexity,src_chatgpt,src_gemini1,src_gemini2,adjudicated
1,Cresimo,4546.88,likely_not_china,,likely_not_china,definitely_not_china,likely_not_china,likely_not_china,likely_not_china,unknown,
2,AMZ Advisers,4100.83,definitely_not_china,not_china,likely_not_china,definitely_not_china,definitely_not_china,definitely_not_china,unknown,unknown,
3,Bird Buddy,3982.14,definitely_not_china,not_china,definitely_not_china,definitely_not_china,definitely_not_china,definitely_not_china,definitely_not_china,definitely_not_china,
4,Pure Instinct / VWELL / Coochy Plus,3495.29,likely_not_china,,likely_not_china,likely_china,likely_not_china,likely_not_china,likely_not_china,unknown,yes
5,MIKO,3319.56,likely_not_china,,likely_not_china,likely_not_china,likely_not_china,likely_not_china,unknown,unknown,
6,bedbath,3281.20,likely_not_china,,unknown,unknown,likely_not_china,likely_not_china,unknown,unknown,
7,SellerX Germany GmbH PO000SXGDE003245,2365.23,definitely_not_china,not_china,definitely_not_china,definitely_not_china,definitely_not_china,definitely_not_china,definitely_not_china,unknown,
8,Woodenhouse,2305.07,unknown,,likely_china,definitely_not_china,unknown,likely_not_china,unknown,unknown,yes
9,Smart Home & Garden,2286.06,definitely_not_china,not_china,likely_not_china,definitely_not_china,definitely_not_china,likely_not_china,unknown,unknown,
10,Planetary Design,2169.04,definitely_not_china,not_china,definitely_not_china,definitely_not_china,definitely_not_china,definitely_not_china,definitely_not_china,definitely_not_china,
11,moralve,2038.64,unknown,,likely_china,unknown,likely_not_china,likely_not_china,unknown,unknown,yes
12,BCOZZY,1950.15,likely_not_china,,likely_not_china,definitely_not_china,likely_not_china,likely_not_china,unknown,unknown,
13,SplashEZ,1817.17,likely_not_china,,likely_not_china,definitely_not_china,likely_not_china,likely_not_china,unknown,unknown,
14,JLab,1742.53,definitely_not_china,not_china,definitely_not_china,definitely_not_china,definitely_not_china,definitely_not_china,definitely_not_china,definitely_not_china,
15,True Fresh,1671.05,unknown,,likely_china,definitely_not_china,unknown,likely_not_china,unknown,unknown,yes
16,Gorillaz LLC,1300.92,likely_not_china,,likely_not_china,definitely_not_china,likely_not_china,likely_not_china,definitely_not_china,unknown,
17,Tractive,1253.53,definitely_not_china,not_china,definitely_not_china,definitely_not_china,definitely_not_china,definitely_not_china,definitely_not_china,unknown,
18,INICAT,1098.01,definitely_china,china,likely_china,unknown,definitely_china,definitely_china,unknown,unknown,yes
19,Eversprout,968.51,likely_not_china,,likely_not_china,definitely_not_china,likely_not_china,likely_not_china,unknown,unknown,
20,Colugo,949.14,definitely_not_china,not_china,definitely_not_china,definitely_not_china,definitely_not_china,definitely_not_china,definitely_not_china,definitely_not_china,
21,unboxme,948.47,definitely_not_china,not_china,definitely_not_china,definitely_not_china,definitely_not_china,unknown,unknown,unknown,
22,Jerome Alexander Cosmetics,926.19,definitely_not_china,not_china,definitely_not_china,definitely_not_china,definitely_not_china,likely_not_china,definitely_not_china,definitely_not_china,
23,Primely,910.31,likely_not_china,,unknown,likely_not_china,likely_not_china,unknown,unknown,unknown,
24,ivizel,833.33,likely_not_china,,likely_not_china,definitely_not_china,likely_not_china,unknown,unknown,unknown,
25,Newton Baby,791.84,definitely_not_china,not_china,definitely_not_china,definitely_not_china,definitely_not_china,likely_not_china,definitely_not_china,definitely_not_china,
26,Carnation,791.34,likely_not_china,,likely_not_china,definitely_not_china,likely_not_china,likely_not_china,unknown,unknown,
27,Mindsight,780.10,likely_not_china,,likely_not_china,definitely_not_china,likely_not_china,likely_not_china,unknown,unknown,
28,Neutralyze,672.35,likely_not_china,,likely_not_china,definitely_not_china,likely_not_china,likely_not_china,unknown,unknown,
29,Best Brands,628.63,likely_not_china,,likely_not_china,definitely_not_china,likely_not_china,unknown,unknown,unknown,
30,Divi Scalp Care,619.21,definitely_not_china,not_china,definitely_not_china,definitely_not_china,likely_not_china,likely_not_china,definitely_not_china,definitely_not_china,
31,Think Tank Scholar,601.77,likely_not_china,,likely_not_china,definitely_not_china,likely_not_china,likely_not_china,unknown,unknown,
32,COSMO Technologies,585.25,definitely_not_china,not_china,definitely_not_china,definitely_not_china,likely_not_china,likely_not_china,unknown,definitely_not_china,
33,Ryddelighome,578.05,likely_china,,likely_china,unknown,unknown,unknown,unknown,unknown,
34,SweatBlock,574.79,definitely_not_china,not_china,definitely_not_china,definitely_not_china,likely_not_china,likely_not_china,unknown,definitely_not_china,
35,NoCry,572.63,likely_not_china,,likely_not_china,definitely_not_china,likely_not_china,likely_not_china,definitely_not_china,unknown,
36,glocusent,570.19,definitely_china,china,definitely_china,definitely_china,likely_china,definitely_china,definitely_china,unknown,yes
37,BigFly,536.55,likely_not_china,,likely_not_china,definitely_not_china,likely_not_china,likely_not_china,unknown,unknown,
38,PrideSports,513.20,definitely_not_china,not_china,definitely_not_china,definitely_not_china,likely_not_china,likely_not_china,unknown,unknown,
39,maisonovo,511.39,likely_not_china,,likely_not_china,likely_china,unknown,unknown,unknown,unknown,yes
40,Nixplay,499.64,likely_china,,likely_china,definitely_china,likely_not_china,likely_not_china,unknown,unknown,yes
41,Natemia,496.76,likely_not_china,,likely_not_china,definitely_not_china,likely_not_china,unknown,unknown,unknown,
42,Lebanta,490.72,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,
43,liuliuby,487.14,likely_not_china,,likely_not_china,likely_china,likely_not_china,likely_china,unknown,unknown,yes
44,Eve Hansen,486.12,likely_not_china,,likely_not_china,definitely_not_china,likely_not_china,unknown,unknown,unknown,
45,Just Play,485.72,definitely_not_china,not_china,definitely_not_china,definitely_not_china,definitely_not_china,likely_not_china,definitely_not_china,definitely_not_china,
46,vitalisuvorov,472.35,likely_not_china,,likely_not_china,definitely_not_china,likely_not_china,likely_not_china,definitely_not_china,unknown,
47,LUNAKAI,465.00,unknown,,unknown,definitely_not_china,unknown,unknown,unknown,unknown,
48,moonjuice,462.97,definitely_not_china,not_china,definitely_not_china,definitely_not_china,definitely_not_china,likely_not_china,definitely_not_china,definitely_not_china,
49,Mind-Glowing,460.01,unknown,,unknown,definitely_not_china,unknown,unknown,unknown,unknown,
50,Retail Arbitrage,451.91,unknown,,unknown,definitely_not_china,unknown,unknown,unknown,unknown,
51,ezbombs,425.06,definitely_not_china,not_china,definitely_not_china,likely_not_china,definitely_not_china,unknown,unknown,unknown,
52,Shacke,407.09,likely_not_china,,unknown,likely_not_china,likely_not_china,unknown,unknown,unknown,
53,JadeYoga,404.59,definitely_not_china,not_china,definitely_not_china,likely_not_china,definitely_not_china,unknown,definitely_not_china,definitely_not_china,
54,Koala Lifestyle,403.90,likely_not_china,,unknown,unknown,definitely_not_china,unknown,unknown,unknown,
55,Coda Music Technologies,397.22,likely_not_china,,likely_not_china,likely_not_china,unknown,unknown,unknown,unknown,
56,VANDEL,395.83,likely_not_china,,likely_not_china,likely_not_china,unknown,unknown,unknown,unknown,
57,BlissLights,395.56,definitely_not_china,not_china,definitely_not_china,likely_not_china,definitely_not_china,unknown,unknown,definitely_not_china,
58,Raw Science,395.16,unknown,,likely_not_china,unknown,likely_china,unknown,unknown,unknown,yes
59,HYDRO CELL,378.45,likely_not_china,,likely_not_china,likely_not_china,unknown,unknown,unknown,unknown,
60,LuxClub,375.41,definitely_not_china,not_china,likely_not_china,unknown,definitely_not_china,unknown,unknown,unknown,
61,Prepared4X,374.64,likely_not_china,,likely_not_china,unknown,unknown,unknown,unknown,unknown,
62,Crave,365.39,definitely_not_china,not_china,likely_not_china,definitely_not_china,definitely_not_china,likely_not_china,unknown,unknown,
63,AWARLT,349.24,likely_not_china,,likely_not_china,likely_not_china,likely_not_china,unknown,unknown,unknown,
64,JungKwanJang,348.69,definitely_not_china,not_china,definitely_not_china,definitely_not_china,definitely_not_china,definitely_not_china,definitely_not_china,unknown,
65,Ergonomic Innovations,343.17,likely_not_china,,likely_not_china,unknown,likely_not_china,unknown,unknown,unknown,
66,Klymit,335.57,definitely_not_china,not_china,definitely_not_china,definitely_not_china,definitely_not_china,likely_not_china,unknown,definitely_not_china,
67,Click and Carry,335.37,definitely_not_china,not_china,definitely_not_china,definitely_not_china,definitely_not_china,unknown,unknown,unknown,
68,goodwipes,334.96,definitely_not_china,not_china,definitely_not_china,definitely_not_china,definitely_not_china,unknown,definitely_not_china,definitely_not_china,
69,Vitamin Bounty,331.90,definitely_not_china,not_china,likely_not_china,likely_not_china,definitely_not_china,likely_not_china,unknown,definitely_not_china,
70,Hewlett Packard Enterprise Instant-On,316.98,definitely_not_china,not_china,definitely_not_china,definitely_not_china,likely_not_china,definitely_not_china,unknown,definitely_not_china,
71,SmartLabels,304.83,likely_not_china,,likely_not_china,likely_not_china,likely_not_china,likely_not_china,unknown,unknown,
72,Ahava,296.19,definitely_china,china,definitely_china,definitely_not_china,definitely_china,definitely_not_china,definitely_china,unknown,yes
73,TOP-UP,291.58,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,
74,Elgin,286.83,likely_not_china,,likely_not_china,likely_not_china,unknown,likely_not_china,unknown,unknown,
75,Gout and You,285.62,likely_not_china,,likely_not_china,unknown,likely_not_china,unknown,unknown,unknown,
76,ACDC LLC,278.07,likely_not_china,,likely_not_china,likely_not_china,unknown,likely_not_china,definitely_not_china,unknown,
77,Jungle Powders,271.19,definitely_not_china,not_china,definitely_not_china,definitely_not_china,definitely_not_china,likely_not_china,unknown,unknown,
78,Kapike,270.70,likely_not_china,,unknown,unknown,likely_not_china,unknown,unknown,unknown,
79,KAHI,269.04,definitely_not_china,not_china,likely_not_china,definitely_not_china,definitely_not_china,definitely_not_china,unknown,unknown,
80,Deep Purple LLC,266.61,likely_not_china,,likely_not_china,likely_not_china,unknown,likely_not_china,definitely_not_china,unknown,
81,CaniBrands USA HC Corp,264.93,definitely_not_china,not_china,likely_not_china,likely_not_china,definitely_not_china,unknown,unknown,unknown,
82,Turquaz,259.52,definitely_not_china,not_china,likely_not_china,likely_not_china,definitely_not_china,unknown,unknown,unknown,
83,ECCOSOPHY,259.44,likely_not_china,,likely_not_china,unknown,likely_not_china,unknown,unknown,unknown,
84,vibesearplugs,248.68,definitely_not_china,not_china,definitely_not_china,definitely_not_china,definitely_not_china,unknown,unknown,unknown,
85,ALTA,242.79,unknown,,unknown,likely_not_china,unknown,unknown,unknown,unknown,
86,Sudstainables,240.22,likely_not_china,,unknown,unknown,likely_not_china,unknown,unknown,unknown,
87,Sprigrown,237.74,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,
88,Zen Dew,231.45,definitely_not_china,not_china,likely_not_china,unknown,definitely_not_china,unknown,unknown,unknown,
89,HydroNova,231.18,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,
90,Realizations,230.62,definitely_not_china,not_china,likely_not_china,unknown,definitely_not_china,unknown,unknown,unknown,
91,PetLoversHQ,229.85,definitely_not_china,not_china,likely_not_china,unknown,definitely_not_china,unknown,unknown,unknown,
92,Billion Pets,229.74,likely_not_china,,likely_not_china,unknown,unknown,unknown,unknown,unknown,
93,Food Huggers,224.83,definitely_not_china,not_china,definitely_not_china,definitely_not_china,definitely_not_china,unknown,unknown,unknown,
94,Happy Head,219.53,definitely_not_china,not_china,definitely_not_china,definitely_not_china,definitely_not_china,unknown,unknown,definitely_not_china,
95,Champion,215.49,definitely_not_china,not_china,definitely_not_china,definitely_not_china,definitely_not_china,unknown,unknown,definitely_not_china,
96,Cutluxe,215.37,likely_not_china,,unknown,unknown,likely_not_china,unknown,unknown,unknown,
97,Amanda Creation Inc.,215.27,definitely_not_china,not_china,likely_not_china,definitely_not_china,definitely_not_china,unknown,unknown,unknown,
98,Freshero,214.51,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,
99,LyfeFuel,212.42,definitely_not_china,not_china,definitely_not_china,unknown,definitely_not_china,unknown,unknown,unknown,
100,STRIV Labs,206.05,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,
101,Dreamland Baby,205.50,definitely_not_china,not_china,definitely_not_china,definitely_not_china,definitely_not_china,unknown,unknown,unknown,
102,SEVEN POTIONS,201.51,definitely_not_china,not_china,likely_not_china,definitely_not_china,definitely_not_china,unknown,unknown,unknown,
103,jakelangley,200.46,definitely_not_china,not_china,likely_not_china,definitely_not_china,definitely_not_china,likely_not_china,unknown,unknown,
104,Funcils,199.81,likely_china,,unknown,unknown,likely_china,likely_china,unknown,unknown,
105,Itari,199.30,likely_china,,likely_china,definitely_china,unknown,likely_china,unknown,unknown,yes
106,Beast Bites Supplements,192.43,definitely_not_china,not_china,likely_not_china,definitely_not_china,definitely_not_china,unknown,unknown,unknown,
107,Crafty Happitoys,188.03,unknown,,unknown,likely_china,unknown,unknown,unknown,unknown,yes
108,Super Area Rugs,186.71,definitely_not_china,not_china,likely_not_china,definitely_not_china,definitely_not_china,unknown,unknown,unknown,
109,Gold Standard,186.06,likely_not_china,,unknown,unknown,definitely_not_china,unknown,unknown,unknown,
110,Great Bay Home,185.43,definitely_not_china,not_china,definitely_not_china,definitely_not_china,definitely_not_china,unknown,unknown,unknown,
111,MatthewMangione,184.48,definitely_not_china,not_china,likely_not_china,definitely_not_china,definitely_not_china,unknown,unknown,unknown,
112,Coreminded,182.50,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,
113,Little Spoon,179.43,definitely_not_china,not_china,definitely_not_china,definitely_not_china,definitely_not_china,unknown,unknown,definitely_not_china,
114,Earth Rated,176.43,definitely_not_china,not_china,definitely_not_china,definitely_not_china,definitely_not_china,likely_not_china,unknown,unknown,
115,Aerosmith LLC,174.09,definitely_not_china,not_china,likely_not_china,definitely_not_china,definitely_not_china,likely_not_china,definitely_not_china,unknown,
116,NatLeo USA Supplements,170.92,likely_not_china,,unknown,definitely_not_china,unknown,likely_not_china,unknown,unknown,
117,Clinexil,169.20,likely_not_china,,unknown,unknown,likely_not_china,unknown,unknown,unknown,
118,Trueseamoss,155.87,definitely_not_china,not_china,likely_not_china,likely_not_china,definitely_not_china,unknown,unknown,unknown,
119,Scotch Porter,155.35,definitely_not_china,not_china,definitely_not_china,definitely_not_china,definitely_not_china,unknown,unknown,definitely_not_china,
120,Kanga Toys,153.92,likely_not_china,,likely_not_china,unknown,likely_not_china,unknown,unknown,unknown,
121,LDC Lux Decor Collection,152.11,likely_not_china,,likely_not_china,likely_china,definitely_not_china,unknown,unknown,unknown,yes
122,Classic Turkish Towels,151.20,definitely_not_china,not_china,definitely_not_china,definitely_not_china,definitely_not_china,likely_not_china,unknown,unknown,
123,Smirly,150.09,likely_not_china,,unknown,definitely_not_china,definitely_not_china,unknown,unknown,unknown,
124,ORCA,149.54,definitely_not_china,not_china,definitely_not_china,definitely_not_china,definitely_not_china,likely_not_china,unknown,unknown,
125,Spotted Dog Company,147.27,definitely_not_china,not_china,definitely_not_china,definitely_not_china,definitely_not_china,likely_not_china,unknown,unknown,
126,Bubzi Co,144.36,definitely_not_china,not_china,likely_not_china,definitely_not_china,definitely_not_china,unknown,unknown,unknown,
127,Optimal Carnivore,140.50,likely_not_china,,unknown,definitely_not_china,likely_not_china,unknown,unknown,unknown,
128,Jerk Fit Ventures Inc,138.47,definitely_not_china,not_china,definitely_not_china,definitely_not_china,definitely_not_china,unknown,unknown,unknown,
129,HONEYERA,134.40,unknown,,unknown,likely_china,likely_not_china,unknown,unknown,unknown,yes
130,Arden Line,130.91,likely_not_china,,likely_not_china,likely_not_china,likely_not_china,unknown,unknown,unknown,
131,MAX'IS Creations,127.76,definitely_not_china,not_china,definitely_not_china,definitely_not_china,definitely_not_china,likely_not_china,unknown,unknown,
132,Weljoy,125.60,likely_china,,likely_china,unknown,likely_china,likely_china,unknown,unknown,
133,CLOCKY LLC,124.36,definitely_not_china,not_china,likely_not_china,definitely_not_china,definitely_not_china,likely_not_china,unknown,unknown,
134,MODA Works,121.71,likely_not_china,,likely_not_china,unknown,likely_not_china,unknown,unknown,unknown,
135,kyachminov,121.54,definitely_not_china,not_china,likely_not_china,definitely_not_china,definitely_not_china,unknown,unknown,unknown,
136,eBrands Global,121.21,definitely_not_china,not_china,definitely_not_china,definitely_not_china,definitely_not_china,unknown,unknown,unknown,
137,Phoenix Worldwide,120.82,likely_not_china,,unknown,definitely_not_china,likely_china,unknown,unknown,unknown,yes
138,Hide & Scratch,119.12,likely_not_china,,likely_not_china,likely_not_china,unknown,unknown,unknown,unknown,
139,luxail,118.74,likely_not_china,,likely_not_china,definitely_not_china,unknown,likely_not_china,unknown,unknown,
140,Intelligent Blends,117.72,definitely_not_china,not_china,definitely_not_china,definitely_not_china,definitely_not_china,unknown,unknown,unknown,
141,ShopBobbys,117.58,definitely_not_china,not_china,definitely_not_china,definitely_not_china,definitely_not_china,likely_not_china,unknown,unknown,
142,Core Med Science,117.30,definitely_not_china,not_china,likely_not_china,definitely_not_china,definitely_not_china,unknown,unknown,unknown,
143,Tiege Hanley,115.01,definitely_not_china,not_china,definitely_not_china,definitely_not_china,definitely_not_china,likely_not_china,unknown,definitely_not_china,
144,Feculs,113.49,likely_china,,likely_china,unknown,unknown,likely_china,unknown,unknown,
145,SAPHUS,112.97,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,
146,riptoned,112.18,definitely_not_china,not_china,likely_not_china,unknown,definitely_not_china,unknown,unknown,unknown,
147,Gamakay,109.05,definitely_china,china,definitely_china,definitely_china,definitely_china,definitely_china,unknown,unknown,yes
148,Oaktiv,108.86,definitely_not_china,not_china,likely_not_china,likely_not_china,definitely_not_china,unknown,unknown,unknown,
149,jasonbaer,108.69,definitely_not_china,not_china,likely_not_china,definitely_not_china,definitely_not_china,unknown,definitely_not_china,unknown,
150,Pure Zen Tea,104.95,likely_not_china,,likely_not_china,unknown,likely_not_china,unknown,unknown,unknown,
151,Checkered Chef,104.88,likely_not_china,,likely_not_china,definitely_not_china,likely_not_china,unknown,unknown,unknown,
152,TubShroom,104.45,definitely_not_china,not_china,likely_not_china,definitely_not_china,definitely_not_china,likely_not_china,unknown,definitely_not_china,
153,Stonecutter,100.95,likely_not_china,,likely_not_china,definitely_not_china,likely_not_china,unknown,unknown,unknown,
154,Superior Brands,99.14,likely_not_china,,unknown,definitely_not_china,likely_not_china,unknown,unknown,unknown,
155,Bywoods,98.96,likely_not_china,,definitely_not_china,definitely_not_china,unknown,unknown,unknown,unknown,
156,Sit. Stay. Forever.,98.84,likely_not_china,,likely_not_china,likely_not_china,likely_not_china,unknown,unknown,unknown,
157,KoolaBaby,96.59,likely_not_china,,likely_not_china,definitely_not_china,likely_china,unknown,unknown,unknown,yes
158,eComCatalyst,88.08,likely_not_china,,likely_not_china,definitely_not_china,likely_not_china,unknown,unknown,unknown,
159,Homesick Candles,86.11,definitely_not_china,not_china,definitely_not_china,definitely_not_china,likely_not_china,likely_not_china,unknown,definitely_not_china,
160,Comfify,85.92,likely_not_china,,unknown,likely_not_china,likely_not_china,unknown,unknown,unknown,
161,admintq,82.24,likely_not_china,,likely_not_china,likely_not_china,likely_not_china,unknown,unknown,unknown,
162,GLUIT,82.07,unknown,,unknown,definitely_china,unknown,unknown,unknown,unknown,yes
163,RUGGED & DAPPER,81.24,definitely_not_china,not_china,definitely_not_china,definitely_not_china,unknown,likely_not_china,unknown,definitely_not_china,
164,HRYCF,80.44,definitely_china,china,definitely_china,definitely_china,definitely_china,likely_china,unknown,unknown,yes
165,Study Key,79.75,likely_not_china,,likely_not_china,likely_not_china,likely_not_china,unknown,unknown,unknown,
166,BottleShield,77.80,unknown,,unknown,likely_not_china,unknown,unknown,unknown,unknown,
167,LOFT + IVY,77.37,likely_not_china,,likely_not_china,definitely_not_china,likely_not_china,unknown,unknown,unknown,
168,Velmia,76.70,likely_not_china,,likely_not_china,definitely_not_china,likely_not_china,unknown,unknown,unknown,
169,Chill Pill,74.73,likely_not_china,,unknown,likely_not_china,likely_not_china,likely_not_china,unknown,unknown,
170,Clean Litter Club,73.27,definitely_not_china,not_china,definitely_not_china,likely_not_china,likely_not_china,unknown,unknown,unknown,
171,AEROSQUAD,73.20,likely_not_china,,likely_not_china,likely_not_china,unknown,unknown,unknown,unknown,
172,CozyGreensJoyeza,70.88,likely_not_china,,likely_not_china,definitely_not_china,likely_not_china,unknown,unknown,unknown,
173,beblox llc,70.52,likely_not_china,,likely_not_china,likely_not_china,likely_china,unknown,unknown,unknown,yes
174,Piticco,67.04,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,
175,Loobanipets,66.96,likely_china,,likely_china,definitely_china,likely_not_china,likely_china,unknown,unknown,yes
176,Bunion Bootie,66.76,likely_not_china,,likely_not_china,definitely_not_china,likely_not_china,unknown,unknown,unknown,
177,syncgo,65.97,likely_china,,unknown,definitely_china,likely_china,likely_china,unknown,unknown,yes
178,Ebacharach,65.55,likely_not_china,,likely_not_china,likely_not_china,unknown,unknown,unknown,unknown,
179,HomeSelects,65.52,likely_not_china,,likely_not_china,definitely_not_china,likely_not_china,likely_not_china,unknown,unknown,
180,Winthorpe Conservation,65.21,likely_not_china,,likely_not_china,likely_not_china,likely_not_china,unknown,unknown,unknown,
181,Drillbrush,64.88,likely_not_china,,likely_not_china,definitely_not_china,likely_not_china,likely_not_china,unknown,definitely_not_china,
182,Dalstrong,64.44,likely_not_china,,likely_not_china,definitely_not_china,likely_not_china,likely_not_china,unknown,unknown,
183,Rollerex,64.11,unknown,,unknown,likely_not_china,unknown,unknown,unknown,unknown,
184,Waggle,63.98,likely_not_china,,likely_not_china,definitely_not_china,likely_not_china,unknown,unknown,unknown,
185,Pleminnky trading,63.38,likely_not_china,,likely_not_china,definitely_china,unknown,unknown,unknown,unknown,yes
186,hemme,63.12,unknown,,unknown,likely_not_china,unknown,unknown,unknown,unknown,
187,CORE FIBER,63.02,unknown,,unknown,definitely_china,likely_not_china,unknown,unknown,unknown,yes
188,IceBeanie,62.88,definitely_not_china,not_china,definitely_not_china,definitely_not_china,likely_not_china,unknown,unknown,unknown,
189,L.ī.Q. Inc.,61.91,likely_not_china,,likely_not_china,likely_not_china,unknown,unknown,unknown,unknown,
